title,author,category,publish_year,resource_id,cover_url,description,publisher
Abiding silence,Shirin Sabri,poetry,1986.0,OL19509401W,/images/icons/avatar_book-sm.png,,Association for Bahá'í Studies
Moments of Destiny,Greg Perkins,religion,2000.0,OL27839592W,/images/icons/avatar_book-sm.png,,Morris Publishing
Living Forever,Catherine Chambers,juvenile_literature,2015.0,OL21559206W,//covers.openlibrary.org/b/olid/OL29251346M-M.jpg,,Hachette Children's Group
Handbook of Utility Theory: Volume 3,,business__economics,,OL11152442M,/images/icons/avatar_book-sm.png,,
Linear algebra and its applications,David C. Lay,exercise,1994.0,OL47604W,//covers.openlibrary.org/b/olid/OL1421531M-M.jpg,,Addison-Wesley
All about the weather,John Pohlman,juvenile_literature,1986.0,OL11385495W,//covers.openlibrary.org/b/olid/OL15087512M-M.jpg,,Hamlyn
My little number and color book,Rod and Staff Publishers,juvenile_literature,2012.0,OL24287769W,//covers.openlibrary.org/b/olid/OL32127815M-M.jpg,,"Rod and Staff Publishers, Inc."
"Modern poetry, American and British",Kimon Friar,poetry,1951.0,OL17984886W,//covers.openlibrary.org/b/olid/OL6092787M-M.jpg,,Appleton-Century-Crofts
Financing government in the Chicago area,Glenn W. Fisher,finance,1966.0,OL1424561W,/images/icons/avatar_book-sm.png,,"Center for Research in Urban Government, Loyola University"
Policy Transfer and Learning in Public Policy and Management,Peter Professor Carroll,political_science,2013.0,OL21245770W,/images/icons/avatar_book-sm.png,,Taylor & Francis Group
Multiple Dog Households (Advice for Pet Owners),Miriam Fields-Babineau,dogs,2001.0,OL2240927W,//covers.openlibrary.org/b/olid/OL11201267M-M.jpg,,TFH Publications
