collection,title_of_material,program,description
Fil. ,Miong: the story of President Emilio Aguinaldo from his birth up to the declaration of Philippine Independence ,Donation ,
REF ,Story of the church: peak moments from Pentecost to the year 2000,Donation ,
FIL ,Marketing plan: building the profitable preferred brand ,Donation ,
Fil ,Weeded: listening for God's word to a messy world ,Donation ,
Fil ,Breakthrough ,Donation ,
Fic,The Lie ,Donation ,
SMS-CIR ,Creative writing for dummies,SMS,
SMS-REF ,Doing qualitative research,SMS,
SMS-CIR ,"Effective crisis communication: moving from crisis to opportunity, 5TH edition ",SMS,
SMS-REF ,Facilitating researchers in insecure zones: towards a more equitable knowledge production,SMS,
SMS-CIR ,Photographic realism: the art of Richard Billingham,SMS,
SMS-CIR ,Podcasting in a platform age,SMS,
CIR ,"Cloud computing, (access code) ",SOIT,
CIR ,Computer networks,SOIT,
CIR ,Discrete mathematical structures in computer science,SOIT,
CIR ,"Essentials of athletic injury management, (ISE) ",Library,
CIR ,Basic biomechanics (ISE),Biology,
HS-CIR ,Introduction to kinesiology,MD,
REF ,"Social research methods: qualitative, quantitative and mixed methods approaches",Library,
REF ,The SAGE handbook of qualitative research,Library,
REF ,A framework for physical education in the early years,Library,
HS-CIR ,ACSM`S introduction to exercise science,MD,
CIR ,Intellectual property licensing and transactions: theory and practice,Library,
HS-REF ,Handbook of pediatric urology,MD,
HS-CIR ,Nutritional biochemistry,MD,
HS-CIR ,Voices of innovation: fulfilling the promise of information technology in healthcare,MD,
HS-CIR ,Nutrition and global health,MD,
HS-CIR ,Food science and health: childhood obesity  W/ DVD,MD,
CIR ,Design for developers,SMS,
SMS-REF ,The illustrator: the best from around the world,SMS,
SMS-REF ,"Media and gender adaptation: regendering, critical creation and the fans",SMS,
SMS-REF ,Rules for writers,SMS,
CIR ,Using behavior science in marketing: drive customer action and loyalty by prompting instinctive resposes,BA-ACT,
CIR ,Marketing analytics: a practical guide to improving consumer insights using data techniques,BA-ACT,
CIR ,Customer insight strategies: how to understand your audience and create remarkable marketing,BA-ACT,
CIR ,"E-commerce website optimization: why 95% of your website visitors don't buy, and what you can do about it",BA-ACT,
REF ,The experience of examining the PhD: an international comparative study of processes and standards of doctoral examination,Library,
REF ,Global literary studies: key concepts,Library,
CIR ,CCDE V3 practice labs: preparing for the Cisco certified design expert lab exam,SOIT,
CIR ,Principles of web API design: delivering value with APIs and microservices,SOIT,
REF ,Adobe photoshop:  visual quickstart guide,SOIT,
REF ,Adobe illustrator: visual quickstart guide,SOIT,
CIR ,Android programming: the big nerd ranch guide,SOIT,
CIR ,C++ core guidelines explained,SOIT,
CIR,C++20 for programmers: an objects-natural approach,SOIT,
REF ,CCIE enterprise infrastructure foundation ,SOIT,
REF ,CEH certified ethical hacker: cert guide advance your IT career with hands-on learning,SOIT,
REF ,Complete A+ guide to IT hardware and software: CompTia A+ exams 220-1101 & 220-1102,SOIT,
CIR ,Core java volume II :advance features,SOIT,
CIR ,Learn enough Javascript to be dangerous,SOIT,
CIR ,Ransomware cyber and extortion: response and prevention ,SOIT,
REF ,100 days of self-love a guided journal,Library,
HS-CIR ,The stress prescription ,Library,
HS-CIR ,Counseling the culturally  diverse theory and practice,Library,
REF ,Business models and corporate reporting: defining the platform to illustrate value creation,BA-ACT,
REF ,"Corporate social responsibility and governance: stakeholders, managemnet and organizational performance in the European Union",BA-ACT,
CIR ,"The economics of money, banking, and financial markets",BA-ACT,
CIR ,Foundations of economics,BA-ACT,
CIR ,Fundamentals of corporate finance,BA-ACT,
CIR ,Horngren's financial and managerial accounting: the managerial chapters,BA-ACT,
CIR ,International economics theory and policy,BA-ACT,
CIR ,International finance theory and policy,BA-ACT,
CIR ,Macroeconomics,BA-ACT,
CIR ,Microeconomics,BA-ACT,
REF ,Operations management and data analytics modeling: economic crises perspective ,BA-ACT,
CIR ,"Payroll accounting,  2023 ed.",BA-ACT,
CIR ,Principles of supply chain management: a balanced approach,BA-ACT,
REF ,Research methods in accounting,BA-ACT,
CIR,Strategic management: a competitive advantage approach concepts and cases,BA-ACT,
CIR ,Supply chain management for dummies,BA-ACT,
CIR ,Supply chain management: securing a superior global edge (ISE),BA-ACT,
SMS-REF ,Adobe animate classroom in a book ,SMS,
SMS-CIR ,"Language, media and society ",SMS,
SMS-CIR ,Logic pro: professional music production ,SMS,
SMS-CIR ,Major principles of media law 2023 ed.,SMS,
CIR ,Cryptography and network security: principles and practice,SOIT,
CIR ,Fundamentals of data science ,SOIT,
CIR ,E-Commerce 2023-2024: business. technology. society.,BA-ACT,
CIR ,Consumer behavior,BA-ACT,
CIR',Advertising and promotion: an integrated marketing communications perspective,BA-ACT,
REF ,Consumer culture theory,BA-ACT,
REF ,The sage handbook of mixed methods research design,BA-ACT,
CIR ,Digital marketing(ISE),BA-ACT,
CIR ,"A marketer's guide to digital advertising: transparency, metrics, and money",BA-ACT,
CIR ,"Digital consumer management, understanding and managing consumer engagement in the digital environment",BA-ACT,
CIR',Advertising and promotion: an integrated marketing communications perspective,BA-ACT,
CIR ,Digital marketing foundations and strategy,BA-ACT,
CIR ,Leading innovation and creativity in University teaching: Implementing change t the programme level,BA-ACT,
HS-REF ,Health-related disorders in children and adolescents: a guidebook for educators and service providers,Psychology,
CIR ,"Introduction to game design, prototyping, and development",SOIT,
CIR ,Machine learning applications: from computer vision to robotics ,SOIT,
CIR ,Deep learning and its applications using python,SOIT,
CIR ,Decision making,BA-ACT,
Gs,Audio mastering: separating the science from fiction,PhDMMA-SMS,
SMS-CIR ,An introduction to film and TV production: from concept to market,MAFP-SMS,
SMS-REF ,Political economy of media and communication: methodological approaches,SMS,
